"scientific","family","rec_gbif"
"Trigona Jurine, 1807","Apidae",23
"Melipona fuscopilosa Moure & Kerr, 1950","Apidae",7
"Nogueirapis Moure, 1953","Apidae",4
"Trigona amazonensis (Ducke, 1916)","Apidae",4
"Trigona pallens (Fabricius, 1798)","Apidae",4
"Euglossa parvula Dressler, 1982","Apidae",3
"Cephalotrigona zexmeniae (Cockerell, 1912)","Apidae",3
"Trigona amalthea (Olivier, 1789)","Apidae",3
"Euglossa mourei Dressler, 1982","Apidae",3
"BOLD:AAE9124","Apidae",2
"Euglossa prasina Dressler, 1982","Apidae",2
"Euglossa rugilabris Moure, 1967","Apidae",2
"Halictidae","Halictidae",2
"Xylocopa ornata Smith, 1874","Apidae",1
"Euglossa retroviridis Dressler, 1982","Apidae",1
"Xylocopa similis Smith, 1874","Apidae",1
"Euglossa stilbonota Dressler, 1982","Apidae",1
"Euglossa viridifrons Dressler, 1982","Apidae",1
"Geotrigona tellurica Camargo & Moure, 1996","Apidae",1
"Xylocopa simillima Smith, 1854","Apidae",1
"Megachile simillima Smith, 1853","Megachilidae",1
"Melipona eburnea Friese, 1900","Apidae",1
"Eufriesea purpurata (Mocsáry, 1896)","Apidae",1
"Melipona Illiger, 1806","Apidae",1
"Melipona illota Cockerell, 1919","Apidae",1
"Mesoplia guedesii (Ducke, 1902)","Apidae",1
"Nannotrigona schultzei (Friese, 1901)","Apidae",1
"Epicharis Klug, 1807","Apidae",1
"Chilicola stenocephala Brooks & Michener, 1999","Colletidae",1
"Centris denudans Lepeletier, 1841","Apidae",1
"Trigona chanchamayoensis Schwarz, 1948","Apidae",1
"Trigona dallatorreana Friese, 1900","Apidae",1
"Trigona guianae Cockerell, 1912","Apidae",1
"Centris atriventris Mocsáry, 1896","Apidae",1
"Bombus Latreille, 1802","Apidae",1
"Euglossa laevicincta Dressler, 1982","Apidae",1
"Euglossa ioprosopa Dressler, 1982","Apidae",1
"Euglossa augaspis Dressler, 1982","Apidae",1
