"scientific","rec_gbif"
"Sphaenorhynchus lacteus (Daudin, 1800)",181
"Scinax ruber (Laurenti, 1768)",130
"Hypsiboas punctatus (Schneider, 1799)",91
"Hyla triangulum Günther, 1869",90
"Bufo typhonius (Linnaeus, 1758)",76
"Rhinella marina (Linnaeus, 1758)",70
"Bufo typhonius typhonius",68
"Hyla punctata (Schneider, 1799)",64
"Adenomera hylaedactyla (Cope, 1868)",58
"Leptodactylus leptodactyloides (Andersson, 1945)",57
"Leptodactylus petersii (Steindachner, 1864)",56
"Hyla leucophyllata (Beireis, 1783)",51
"Rhinella margaritifera (Laurenti, 1768)",46
"Dendropsophus triangulum (Günther, 1869)",40
"Ameerega trivittata (Spix, 1824)",38
"Hyla riveroi Cochran & Goin, 1970",37
"Dendrophryniscus minutus (Melin, 1941)",34
"Sphaenorhynchus dorisae (Goin, 1957)",31
"Hyla granosa Boulenger, 1882",31
"Sphaenorhynchus eurhostus Rivero, 1969",30
"Hyla rubra Laurenti, 1768",29
"Scinax Wagler, 1830",29
"Eleutherodactylus malkini Lynch, 1980",29
"Epipedobates femoralis (Boulenger, 1884)",25
"Dendropsophus riveroi (Cochran & Goin, 1970)",25
"Sphaenorhynchus carneus (Cope, 1868)",20
"Colostethus faciopunctulatus Rivero, 1991",18
"Dendropsophus leucophyllatus (Beireis, 1783)",17
"Eleutherodactylus Duméril & Bibron, 1841",17
"Hyla fasciata Günther, 1858",16
"Adenomera andreae (Müller, 1923)",16
"Eleutherodactylus nigrovittatus Andersson, 1945",15
"Eleutherodactylus conspicillatus (Günther, 1858)",14
"Osteocephalus planiceps Cope, 1874",14
"Hyla Laurenti, 1768",14
"Dendropsophus sarayacuensis (Shreve, 1935)",14
"Oreobates quixensis Jiménez de la Espada, 1872",13
"Hypsiboas lanciformis Cope, 1871",13
"Hyla lanciformis (Cope, 1871)",13
"Phyllomedusa vaillantii Boulenger, 1882",12
"Dendrobates quinquevittatus Steindachner, 1864",12
"Osteocephalus taurinus Steindachner, 1862",12
"Eleutherodactylus ockendeni (Boulenger, 1912)",11
