"species","family","rec_gbif"
"Coragyps atratus","Cathartidae",2153
"Cacicus cela","Icteridae",1965
"Tyrannus melancholicus","Tyrannidae",1897
"Thraupis episcopus","Thraupidae",1893
"Psarocolius angustifrons","Icteridae",1886
"Ramphocelus carbo","Thraupidae",1872
"Brotogeris versicolurus","Psittacidae",1553
"Pitangus sulphuratus","Tyrannidae",1405
"Crotophaga ani","Cuculidae",1365
"Rupornis magnirostris","Accipitridae",1337
"Milvago chimachima","Falconidae",1329
"Thraupis palmarum","Thraupidae",1256
"Monasa nigrifrons","Bucconidae",1122
"Cathartes aura","Cathartidae",1079
"Chionomesa fimbriata","Trochilidae",978
"Turdus ignobilis","Turdidae",968
"Ardea alba","Ardeidae",952
"Crotophaga major","Cuculidae",926
"Sporophila castaneiventris","Thraupidae",905
"Troglodytes aedon","Troglodytidae",903
"Jacana jacana","Jacanidae",901
"Myiozetetes similis","Tyrannidae",896
"Megaceryle torquata","Alcedinidae",877
"Graydidascalus brachyurus","Psittacidae",876
"Phaetusa simplex","Laridae",867
"Capito aurovirens","Capitonidae",852
"Tachornis squamata","Apodidae",836
"Patagioenas cayennensis","Columbidae",835
"Ammodramus aurifrons","Emberizidae",769
"Crypturellus undulatus","Tinamidae",766
"Melanerpes cruentatus","Picidae",765
"Aratinga weddellii","Psittacidae",755
"Butorides striata","Ardeidae",747
"Tyrannulus elatus","Tyrannidae",721
"Paroaria gularis","Thraupidae",672
"Megarynchus pitangua","Tyrannidae",649
"Columbina talpacoti","Columbidae",638
"Todirostrum maculatum","Tyrannidae",624
"Trogon viridis","Trogonidae",621
"Pteroglossus castanotis","Ramphastidae",620
"Campylorhynchus turdinus","Troglodytidae",607
"Busarellus nigricollis","Accipitridae",603
"Capito auratus","Capitonidae",603
"Thamnophilus doliatus","Thamnophilidae",594
"Aratinga leucophthalma","Psittacidae",579
"Anhima cornuta","Anhimidae",573
"Tangara mexicana","Thraupidae",572
"Xiphorhynchus picus","Furnariidae",567
"Ramphastos tucanus","Ramphastidae",563
"Tityra cayana","Cotingidae",541
"Leptotila rufaxilla","Columbidae",539
"Ortalis guttata","Cracidae",538
"Donacobius atricapilla","Donacobiidae",529
"Pionus menstruus","Psittacidae",510
"Chaetura brachyura","Apodidae",509
"Ara severus","Psittacidae",499
"Phalacrocorax brasilianus","Phalacrocoracidae",495
"Ictinia plumbea","Accipitridae",493
"Tachycineta albiventer","Hirundinidae",489
"Brotogeris sanctithomae","Psittacidae",483
"Piaya cayana","Cuculidae",477
"Stelgidopteryx ruficollis","Hirundinidae",469
"Chloroceryle amazona","Alcedinidae",469
"Amazona festiva","Psittacidae",461
"Patagioenas plumbea","Columbidae",454
"Sternula superciliaris","Laridae",448
"Cathartes melambrotus","Cathartidae",439
"Saltator coerulescens","Cardinalidae",436
"Campephilus melanoleucos","Picidae",434
"Chrysomus icterocephalus","Icteridae",407
"Pheugopedius coraya","Troglodytidae",403
"Ara macao","Psittacidae",401
"Cantorchilus leucotis","Troglodytidae",399
"Celeus flavus","Picidae",394
"Daptrius ater","Falconidae",389
"Xiphorhynchus guttatus","Furnariidae",386
"Pitangus lictor","Tyrannidae",386
"Volatinia jacarina","Thraupidae",376
"Colaptes punctigula","Picidae",375
"Gymnoderus foetidus","Cotingidae",374
"Megascops choliba","Strigidae",369
"Lepidothrix coronata","Pipridae",368
"Ramphocelus nigrogularis","Thraupidae",363
"Columba livia","Columbidae",359
"Pachyramphus polychopterus","Cotingidae",354
"Orthopsittaca manilata","Psittacidae",350
"Thlypopsis sordida","Thraupidae",345
"Dryocopus lineatus","Picidae",341
"Herpetotheres cachinnans","Falconidae",341
"Glyphorynchus spirurus","Furnariidae",338
"Myiodynastes maculatus","Tyrannidae",335
"Ardea cocoi","Ardeidae",333
"Amazona farinosa","Psittacidae",330
"Patagioenas subvinacea","Columbidae",328
"Nasica longirostris","Furnariidae",326
"Glaucidium brasilianum","Strigidae",325
"Ibycter americanus","Falconidae",322
"Euphonia laniirostris","Fringillidae",320
"Pipra erythrocephala","Pipridae",316
"Oryzoborus angolensis","Thraupidae",314
"Celeus elegans","Picidae",309
"Attila spadiceus","Tyrannidae",306
"Pandion haliaetus","Pandionidae",303
"Vireo olivaceus","Vireonidae",300
"Phaeomyias murina","Tyrannidae",296
"Nemosia pileata","Thraupidae",296
"Buteogallus urubitinga","Accipitridae",293
"Crypturellus cinereus","Tinamidae",290
"Galbalcyrhynchus leucotis","Galbulidae",289
"Ara ararauna","Psittacidae",284
