"species","rec_gbif"
"Chionomesa fimbriata",978
"Anthracothorax nigricollis",281
"Phaethornis hispidus",247
"Talaphorus chlorocercus",229
"Thalurania furcata",216
"Glaucis hirsutus",195
"Phaethornis bourcieri",171
"Phaethornis ruber",146
"Florisuga mellivora",141
"Phaethornis malaris",136
"Threnetes leucurus",75
"Chlorestes notata",74
"Chlorostilbon mellisugus",73
"Campylopterus largipennis",66
"Phaethornis atrimentalis",60
"Chrysuronia oenone",47
"Chrysuronia versicolor",30
"Heliothryx auritus",28
"Heliodoxa aurescens",22
"Heliomaster longirostris",19
"Heliodoxa schreibersii",18
"Topaza pyra",15
"Chlorestes cyanus",15
"Chlorostilbon olivaresi",14
"Polytmus theresiae",14
NULL,7
"Phaethornis superciliosus",7
"Calliphlox amethystina",6
"Hylocharis sapphirina",4
"Eriocnemis mosquera",3
"Boissonneaua flavescens",3
"Metallura tyrianthina",3
"Eriocnemis vestita",3
"Coeligena torquata",3
"Doryfera johannae",2
"Saucerottia hoffmanni",1
"Phaethornis longuemareus",1
"Discosura langsdorffi",1
"Chaetocercus mulsant",1
"Polytmus guainumbi",1
"Chrysolampis mosquitus",1
