"nombre","nombre_zh","pinyin","telefonos","correo","ctrip"
NULL,NULL,NULL,NULL,NULL,NULL
"Bellaflor",NULL,NULL,NULL,NULL,NULL
"Yakuruna",NULL,NULL,NULL,NULL,NULL
"La casa de la Artesana",NULL,NULL,NULL,NULL,NULL
"Cabañas Genn Lop",NULL,NULL,NULL,NULL,NULL
"Utuane",NULL,NULL,NULL,NULL,NULL
"La esperanza",NULL,NULL,NULL,NULL,NULL
"Eware",NULL,NULL,NULL,NULL,NULL
"Doña Gloria",NULL,NULL,NULL,NULL,NULL
"Zuruma",NULL,NULL,NULL,NULL,NULL
"Las Heliconias",NULL,NULL,NULL,NULL,NULL
"Hostal Lataguas",NULL,NULL,NULL,NULL,NULL
"Jangada",NULL,NULL,NULL,NULL,NULL
"Fernando Real",NULL,NULL,NULL,NULL,NULL
"Huit",NULL,NULL,NULL,NULL,NULL
"Mahato",NULL,NULL,NULL,NULL,NULL
"Malokmazonas",NULL,NULL,NULL,NULL,NULL
"Divino niño",NULL,NULL,NULL,NULL,NULL
"De la Selva",NULL,NULL,NULL,NULL,NULL
"Santa Helena",NULL,NULL,NULL,NULL,NULL
"Hostal la casa de la Runpira",NULL,NULL,NULL,NULL,NULL
"Hostal Manguare",NULL,NULL,NULL,NULL,NULL
"La Frontera",NULL,NULL,NULL,NULL,NULL
"La Florida",NULL,NULL,NULL,NULL,NULL
"Hostal de la virgen de Guadalupe",NULL,NULL,NULL,NULL,NULL
"Ayahuasca Amazonas",NULL,NULL,NULL,NULL,NULL
"Amazon",NULL,NULL,NULL,NULL,NULL
"Estadio",NULL,NULL,NULL,NULL,NULL
"La posada Leticiona",NULL,NULL,NULL,NULL,NULL
"Amazon Red y Breakfast",NULL,NULL,NULL,NULL,NULL
"Pirarucú",NULL,NULL,NULL,NULL,NULL
"Residencia marina",NULL,NULL,NULL,NULL,NULL
"Amira",NULL,NULL,NULL,NULL,NULL
"Barbacoas",NULL,NULL,NULL,NULL,NULL
"Residencias Campuzano",NULL,NULL,NULL,NULL,NULL
"Brisas del Amazonas",NULL,NULL,NULL,NULL,NULL
"Hostal Amazonas",NULL,NULL,NULL,NULL,NULL
"Casa Hotel Renzaia",NULL,NULL,NULL,NULL,NULL
"Cabañas la manigua",NULL,NULL,NULL,NULL,NULL
"Arawana",NULL,NULL,NULL,NULL,NULL
"Decamerón",NULL,NULL,NULL,NULL,NULL
"Casa de Huéspedes Guest House",NULL,NULL,NULL,NULL,NULL
"Restaurante Hotel",NULL,NULL,NULL,NULL,NULL
"Hospedaje",NULL,NULL,NULL,NULL,NULL
"Hospedaje",NULL,NULL,NULL,NULL,NULL
"Hospedaje",NULL,NULL,NULL,NULL,NULL
"Hospedaje",NULL,NULL,NULL,NULL,NULL
"Hospedaje",NULL,NULL,NULL,NULL,NULL
"Hospedaje",NULL,NULL,NULL,NULL,NULL
"Mediterráneo",NULL,NULL,NULL,NULL,NULL
"Silva",NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL
"Eco Motel",NULL,NULL,NULL,NULL,NULL
"Hospedaje",NULL,NULL,NULL,NULL,NULL
"Hotel Yurupary","鱼如帕瑞酒店","Yú rú pà ruì jiǔdiàn","(57) 3125425900","hotelyurupary@gmail.com, hotelyurupary@hotmail.com, reservas@hotelyurupary.com","https://m.ctrip.com/webapp/hotel/hoteldetail/9241922.html?totalprice=0"
"Casa Hotel Maune","毛尼卡萨酒店","Máo ní kǎ sà jiǔdiàn",NULL,NULL,"https://hotels.ctrip.com/hotels/9431052.html#ctm_ref=www_hp_bs_lst"
"Amazonas Explorer",NULL,NULL,NULL,NULL,NULL
"Ecohotel Refugio de la Floresta",NULL,NULL,NULL,NULL,"https://hotels.ctrip.com/hotels/8378534.html#ctm_ref=www_hp_bs_lst"
"Hotel Madre Selva","马德雷瑟瓦酒店","Mǎdéléi sè wǎ jiǔdiàn",NULL,NULL,"https://hotels.ctrip.com/hotels/22999692.html#ctm_ref=www_hp_bs_lst"
"Villas de Leon",NULL,NULL,NULL,NULL,NULL
"Hotel Anaconda","蟒蛇酒店","Mǎngshé jiǔdiàn","( +578) 5927891, (+571) 6911095","bogota@hotelanaconda.com.co, reservas@hotelanaconda.com.co","https://hotels.ctrip.com/hotels/4381332.html#ctm_ref=www_hp_bs_lst"
"Waira Suites Hotel","怀拉套房酒店","Huái lā tàofáng jiǔdiàn","(57) 314 264 7018","gerenciao@wairahotel.com.co","https://hotels.ctrip.com/hotels/3662657.html#ctm_ref=www_hp_bs_lst"
