"scientific","rec_gbif"
"Megaselia Rondani, 1856",3079
"Platygastridae",1650
"Stratiomyidae",1491
"Phoridae",1385
"Telenomus Haliday, 1833",1191
"Agallia basalis Oman, 1938",894
"Dohrniphora",833
"Eurysternus cayennensis Castelnau, 1840",814
"Apocephalus Coquillett, 1901",653
"Blastocera speciosa Gerstaecker, 1857",579
"Triteleia Kieffer, 1906",483
"Camponotus leydigi Forel, 1886",457
"Coniceromyia",369
"Blattodea",361
"Leptacis Förster, 1856",334
"Psilanteris Kieffer, 1916",333
"Erebidae",326
"Ectatomma lugens Emery, 1894",302
"Eurysternus caribaeus (Herbst, 1789)",302
"Idris Förster, 1856",294
"Crematogaster Lund, 1831",290
"Woodiphora Schmitz, 1926",284
"Calliscelio migma Chen & Johnson, 2017",276
"Formicidae",238
"Myriophora Brown, 1992",237
"Canthon Hoffmannsegg, 1817",236
"Pachycondyla crassinoda (Latreille, 1802)",231
"Probaryconus Kieffer, 1908",229
"Rhyncophoromyia Malloch, 1923",228
"Calliscelio Ashmead, 1893",218
"Acanthoscelio Ashmead, 1893",218
"Melaloncha kungae Brown, 2005",202
"Apodicrania Borgmeier, 1933",197
"Chironomidae",193
"Megalomyrmex leoninus Forel, 1885",190
"Pachycondyla stigma (Fabricius, 1804)",190
"Diptera",188
"Eidalimus Kertesz, 1914",188
"Gryon Haliday, 1833",180
"Chonocephalus Wandollek, 1898",178
"Scelio Latreille, 1805",176
"Trachymyrmex Forel, 1893",171
"Trimorus Förster, 1856",168
"Odontomachus haematodus (Linnaeus, 1758)",163
"Staphylinidae",160
"Diocophora Borgmeier, 1959",156
"Azteca Forel, 1878",155
"Xestocephalus Van Duzee, 1892",155
"Oxysternon conspicillatum (Weber, 1801)",152
"Ectatomma brunneum Smith, 1858",149
"Hoplandria Kraatz, 1857",141
"Ligyromyia columbiana Kertész, 1916",139
"Camponotus obreptivus Forel, 1899",138
"Ectatomma tuberculatum (Olivier, 1792)",135
"Pheidole gertrudae Forel, 1886",134
"Pseudacteon Coquillett, 1907",131
"Paratrechina Motschoulsky, 1863",126
"Camponotus trifasciatus Santschi, 1926",126
"Dohrniphora mixtura Brown & Kung, 2010",116
"Duta Nixon, 1933",113
"Eurysternus hypocrita Balthasar, 1939",113
"Chrysomya albiceps (Wiedemann, 1819)",112
"Dolichoderus bidens (Linnaeus, 1758)",112
"Saturniidae",103
"Menosoma elegans (Osborn, 1923)",100
"Lepidoptera",100
"Sepedophilus Gistel, 1856",98
"Hermetia flavipes Wiedemann, 1830",98
"Pachycondyla apicalis (Latreille, 1802)",95
"Pheidole susannae Forel, 1886",88
"Chiasmodolon Dietrich, 1990",85
"Hemiptera",85
"Pheidole Westwood, 1839",81
"Curtara curvita DeLong & Freytag, 1976",81
"Dolichoderus attelaboides (Fabricius, 1775)",80
"Puliciphora Dahl, 1897",77
"Ceraphronidae",77
"Cephalotes atratus (Linnaeus, 1758)",75
"Physoptera Borgmeier, 1958",75
"Apocephalus paraponerae Borgmeier, 1958",74
"Ramosulus hamatus Freytag, 2004",74
"Chalcididae",73
"Cremastobaeus Ashmead, 1893",72
"Cyphomyia Wiedemann, 1819",70
"Neopleurophora Brown, 1992",69
"Pheidole punctatissima Mayr, 1870",67
"Palaminus Erichson, 1839",65
"Camponotus coriolanus Forel, 1912",65
"Dohrniphora continua Brown & Kung, 2010",64
"Chromoteleia Ashmead, 1893",64
"Xenomerus Walker, 1836",63
"Hypoponera Santschi, 1938",62
"Xestocephalus desertorum (Berg, 1879)",62
"Calliscelio suni Chen & Johnson, 2017",61
"Solenopsis Westwood, 1840",61
"Xestocephalus quadripunctatus Linnavuori, 1955",59
"Dolichoderus bispinosus (Olivier, 1792)",59
"Lucilia eximia (Wiedemann, 1819)",58
"Pheidole tristicula Wilson, 2003",57
"Portanus chelatus DeLong, 1976",57
"Canthon fulgidus Redtenbacher, 1868",57
"Opisthacantha Ashmead, 1893",57
"Cyphomyia fascipes Walker, 1854",57
"Pheidole brandaoi",56
"Paralucilia Brauer & Bergenstamm, 1891",56
"Pseudomyrmex Lund, 1831",56
"Popanomyia Kertesz, 1909",55
"Acanthinomyia Hunter, 1901",55
"Baryconus Förster, 1856",55
"Ramosulus corrugipennis (Osborn, 1926)",55
"Dohrniphora buscki Malloch, 1912",53
"Calliscelio longius Chen & Johnson, 2017",52
"Camponotus Mayr, 1861",52
"Geometridae",52
"Arctiinae Lithosiini",51
"Synopeas Förster, 1856",50
"Camponotus sphenoidalis Mayr, 1870",50
"Ceratopogonidae",50
"Sarcophagidae",49
"Chromoteleia connectens Kieffer, 1910",48
"Neodohrniphora Malloch, 1914",47
"Pheidole simplex Wheeler",46
"Phymatopterella Brues, 1933",44
"Dactylodeictes Kertesz, 1914",44
"Labidus coecus (Latreille, 1802)",43
"Eurysternus foedus Guérin-Méneville, 1844",43
"Polana sana DeLong, 1979",42
"Notodontidae",42
"Platydema Laporte & Brullé, 1831",41
"Portanus facetus Kramer, 1961",41
"Dohrniphora ecitophila Borgmeier, 1960",41
"Holisus Erichson, 1839",40
"Dolichoderus ferrugineus Forel, 1903",40
"Tenagobia Bergroth, 1899",39
"Psychodidae",39
"Dohrniphora dispar Enderlein, 1912",39
"Pachycondyla constricta (Mayr, 1884)",39
"Portanus elegans Kramer, 1961",39
"Diapriidae",38
"Wasmannia auropunctata (Roger, 1863)",38
"Apocephalus trifidus Brown, 2000",38
"Calliscelio brachys Chen & Johnson, 2017",37
"Chalcidomorphina aurata Enderlein, 1914",37
"Dohrniphora berezovskiyi Brown & Kung, 2010",36
"Eurysternus squamosus Génier, 2009",35
"Oragua Melichar, 1926",35
"Fannia Robineau-Desvoidy, 1830",34
"Curculionidae",34
"Calliscelio brevitas Chen & Johnson, 2017",34
"Catagonalia lunata (Signoret, 1854)",33
"Acrulogonia lobata Freytag, 2005",33
"Neodohrniphora prolixa Brown, 2001",33
"Merosargus Loew, 1855",33
"Lebia Latreille, 1802",32
"Apocephalus dinoponerae Brown, 2000",32
"Pachycondyla obscuricornis Emery, 1890",32
"Neodohrniphora declinata Borgmeier, 1925",31
"Chloroprocta idioidea (Robineau-Desvoidy, 1830)",31
"Acromyrmex hystrix (Latreille, 1802)",30
"Pheidole amata Forel, 1901",30
"Scarabaeidae",30
"Paederina Bordoni, 1975",30
"Paralucilia paraensis (Mello, 1969)",29
"Tetradonia Wasmann, 1894",29
"Apocephalus laceyi Disney, 1981",29
"Conicera Meigen, 1830",28
"Nylanderia Emery, 1906",28
"Phalacrotophora Enderlein, 1912",28
"Darwiniphora",27
"Rhyncophoromyia maculineura Borgmeier, 1959",27
"Termitidae",27
"Xestocephalus dedecus DeLong, Wolda & Estribi, 1980",27
"Odontomachus brunneus (Patton, 1894)",27
"Anartia amathea (Linnaeus, 1758)",26
"Thoronella Masner, 1972",26
"Platygaster Latreille, 1809",26
"Dinoponera longipes Emery, 1901",26
"Mesembrinella batesi Aldrich, 1922",26
"Chalcidomorphina Enderlein, 1914",26
"Gnamptogenys alfaroi (Emery, 1894)",26
"Calliscelio laticinctus Ashmead, 1893",25
"Calliscelio eboris Chen & Johnson, 2017",25
"Oxysarcodexia fringidea (Curran & Walley, 1934)",25
"Chaetodus Westwood, 1845",25
"Fuminana superba (DeLong & Freytag, 1969)",25
"Deltochilum orbiculare Lansberge, 1874",25
"Eurysternus wittmerorum Martinez, 1988",24
"Dohrniphora divaricata (Aldrich, 1896)",24
"Pheidole jeannei Wilson, 2003",24
"Dohrniphora parvicarinata Brown & Kung, 2010",24
"Dolichoderus decollatus Smith, 1858",23
"Bryoporus Kraatz, 1857",23
"Trigona Jurine, 1807",23
"Ladoffa enochra Young Jr., 1977",23
"Gigantiops destructor (Fabricius, 1804)",23
"Xestocephalus irroratus Osborn, 1924",23
"Neodohrniphora arcuata Brown, 2001",22
"Chaetocnemistoptera Borgmeier, 1923",22
"Dohrniphora sinuicoxa Brown & Kung, 2010",22
"Artemita bicolor Kertész, 1914",22
"Beckerina Malloch, 1910",22
"Parascelio Dodd, 1920",22
"Atanygnathus Jakobson, 1909",22
"Belostoma Latreille, 1807",21
"Heteragrion demarmelsi Stand-Pérez, Bota-Sierra & Pérez-Gutiérrez, 2019",21
"Polana elera DeLong & Freytag, 1972",21
"Reduviidae",21
"Pheidole lutzi Forel, 1905",21
"Dinocercus Borgmeier, 1971",21
"Pedinocera longicornis Kertész, 1909",21
"Macroteleia Westwood, 1835",21
"Chrysomya megacephala (Fabricius, 1794)",20
"Dolichoderus rugosus (Smith, 1851)",20
"Apterostigma epinotale Weber, 1937",20
"Pheidole chrysops Wilson",20
"Chrysomelidae",20
"Cremersia Schmitz, 1924",20
"Dolichoderus Lund, 1831",19
"Carebara Westwood, 1840",19
"Cardioscarta quadrifasciata (Linnaeus, 1758)",19
"Laccophilus Leach, 1815",19
"Atherigona orientalis Schiner, 1868",19
"Hermetia Latreille, 1804",19
"Artemita aurata (Macquart, 1846)",19
"Soosiulus regalis Young Jr., 1977",19
"Apocephalus melinus Brown, 2000",19
"Derallus Sharp, 1882",18
"Dohrniphora lamellifera Borgmeier, 1961",18
"Octostruma pexidorsum Longino",18
"Mutillidae",18
"Chiasmodolon gracilis Freytag, 2006",18
"Culicoides",18
"Apocephalus brochus Brown, 2000",18
"Iphitrachelus Haliday, 1836",18
"Megasoma mars (Reiche, 1852)",18
"Cyphomyrmex rimosus (Spinola, 1851)",17
"Megalomyrmex caete Brandao, 1990",17
"Sceliomorpha longicornis Ashmead, 1893",17
"Sceliomorpha Ashmead, 1893",17
"Anartia jatrophae (Linnaeus, 1763)",17
"Paratachys Casey, 1918",17
"Camponotus femoratus (Fabricius, 1804)",17
"Buenoa Kirkaldy, 1904",17
"Noctuidae",17
"Polana desela DeLong, 1979",16
"Odontomachus Latreille, 1804",16
"Brasilocaenis Puthz, 1975",16
"Pseudohypocera kerteszi (Enderlein, 1912)",16
"Fuminana lira (DeLong & Freytag, 1969)",16
"Zyras Stephens, 1833",16
"Metopina Macquart, 1835",16
"Lutzomyia runoides (Fairchild & Hertig, 1953)",16
"Apocephalus asyndetus Brown, 2000",16
"Dohrniphora cootei Brown & Kung, 2007",16
"Soosiulus interpolis Young Jr., 1977",15
"Sphingidae",15
"Odontomachus hastatus (Fabricius, 1804)",15
"Hortensia similis (Walker, 1851)",15
"Acylophorus Nordmann, 1837",15
"Crematogaster brasiliensis Mayr, 1878",15
"Asthenopus Eaton, 1871",15
"Mayaponera Schmidt & Shattuck, 2014",15
"Styletta crocea Borgmeier, 1960",15
"Artemita amenides (Walker, 1849)",15
"Culicidae",15
"Acanthophorides Borgmeier, 1924",14
"Odontomachus bauri Emery, 1892",14
"Tetrataenia surinama (Linnaeus, 1764)",14
"Paraponera clavata (Fabricius, 1775)",14
"Pierella lucia Weymer, 1885",14
"Dohrniphora sulcatula Borgmeier, 1960",14
"Ephuta Say, 1836",14
"Acropyga exsanguis (Wheeler, 1909)",14
"Myriophora inaequalisetarum Hash & Brown, 2015",14
"Copididonus vittulatus (Berg, 1884)",14
"Sylvicanthon Halffter & Martinez, 1977",14
"Hedylidae",14
"Polana celsa DeLong & Freytag, 1972",14
"Aleochara Gravenhorst, 1802",14
"Erythrodiplax fusca Rambur, 1842",14
"Pachycondyla ferruginea (Smith, 1858)",14
"Euvelia Drake, 1957",14
