"species","rec_gbif"
"Tayassu pecari",1304
"Tapirus terrestris",1057
"Leontocebus nigricollis",558
"Lagothrix lagothricha",499
"Dasyprocta fuliginosa",494
"Cuniculus paca",348
"Pecari tajacu",294
"Pithecia hirsuta",214
"Cheracebus lucifer",207
"Priodontes maximus",181
NULL,146
"Saimiri cassiquiarensis",137
"Didelphis marsupialis",119
"Cebus albifrons",79
"Platyrrhinus helleri",75
"Mazama rufina",69
"Molossus molossus",68
"Myrmecophaga tridactyla",61
"Alouatta seniculus",56
"Uroderma magnirostrum",51
"Carollia perspicillata",40
"Cebuella pygmaea",39
"Panthera onca",33
"Noctilio albiventris",32
"Inia geoffrensis",30
"Artibeus planirostris",28
"Pithecia milleri",26
"Sotalia fluviatilis",25
"Nasua nasua",19
"Eira barbara",19
"Bradypus variegatus",19
"Tamandua tetradactyla",18
"Myotis albescens",17
"Rhynchonycteris naso",16
"Puma concolor",14
"Vampyressa pusilla",13
"Artibeus lituratus",13
"Atelocynus microtis",12
"Glossophaga soricina",11
"Puma yagouaroundi",11
"Leopardus pardalis",10
"Saimiri sciureus",10
"Carollia brevicaudum",8
"Eumops trumbulli",8
"Rhinophylla pumilio",7
"Noctilio leporinus",7
"Sapajus apella",7
"Chiroderma trinitatum",7
"Chiroderma villosum",7
"Artibeus jamaicensis",7
"Leontocebus fuscicollis",6
"Uroderma bilobatum",6
"Procyon cancrivorus",5
"Leontocebus fuscus",5
"Artibeus glaucus",5
"Cyclopes didactylus",4
"Artibeus phaeotis",4
"Carollia castanea",4
"Dasypus novemcinctus",4
"Leopardus wiedii",4
"Macrophyllum macrophyllum",4
"Saimiri macrodon",4
"Vampyrodes caraccioli",4
"Gardnerycteris crenulatum",3
"Myotis nigricans",3
"Artibeus anderseni",3
"Artibeus obscurus",3
"Cebuella niveiventris",3
"Potos flavus",3
"Mesophylla macconnelli",3
"Dasypterus ega",3
"Phyllostomus discolor",3
"Molossus coibensis",3
"Carollia subrufa",2
"Marmosa murina",2
"Myotis simus",2
"Hylaeamys megacephalus",2
"Hydrochoerus hydrochaeris",2
"Odocoileus virginianus",2
"Phyllostomus elongatus",2
"Desmodus rotundus",2
"Pithecia pithecia",2
"Plecturocebus moloch",2
"Dasyprocta punctata",2
"Cynomops planirostris",2
"Aotus trivirgatus",2
"Sphaeronycteris toxophyllum",2
"Sturnira lilium",2
"Sturnira magna",2
"Trichechus inunguis",2
"Lophostoma silvicola",2
"Phyllostomus latifolius",1
"Lophostoma brasiliense",1
"Dasypterus intermedius",1
"Bradypus tridactylus",1
"Microsciurus flaviventer",1
"Marmosa rubra",1
"Lonchorhina orinocensis",1
"Artibeus gnomus",1
"Dactylomys dactylinus",1
"Pteronura brasiliensis",1
"Thyroptera tricolor",1
"Cyclopes ida",1
"Rattus rattus",1
"Choloepus didactylus",1
"Cerdocyon thous",1
"Saccopteryx leptura",1
"Cebus yuracus",1
"Aotus nancymai",1
"Molossus rufus",1
"Myoprocta acouchy",1
"Isothrix bistriata",1
"Lasiurus blossevillii",1
"Mazama americana",1
"Lophostoma carrikeri",1
"Caluromys lanatus",1
"Holochilus brasiliensis",1
"Glyphonycteris daviesi",1
"Makalata rhipidura",1
"Oecomys bicolor",1
"Molossus currentium",1
"Eptesicus brasiliensis",1
"Peropteryx macrotis",1
"Mimon bennettii",1
"Aotus vociferans",1
