"scientific","rec_gbif"
"Eschweilera coriacea (DC.) S.A.Mori",506
"Fabaceae",463
"Manihot esculenta Crantz",409
"Mauritia flexuosa L.f.",369
"Euterpe precatoria Mart.",366
"Eschweilera Mart. ex DC.",362
"Oxandra polyantha R.E.Fr.",353
"Virola calophylla (Spruce) Warb.",339
"Clathrotropis macrocarpa Ducke",312
"Virola elongata (Benth.) Warb.",303
"Iryanthera ulei Warb.",279
"Oenocarpus bataua Mart.",279
"Micrandra spruceana (Baill.) R.E.Schult.",272
"Lauraceae",270
"Virola Aubl.",242
"Nealchornea yapurensis Huber",216
"Inga Mill.",213
"Pouteria Aubl.",207
"SH0934916.09FU",206
"Digomphia densicoma (Mart. ex DC.) Pilg.",206
"Scleronema micranthum (Ducke) Ducke",201
"Myristicaceae",196
"Miconia Ruiz & Pav.",189
"Plantae",188
"Rinorea lindeniana (Tul.) Kuntze",184
"Licania Aubl.",180
"Sapotaceae",176
"Conceveiba guianensis Aubl.",174
"Monopteryx uaucu Spruce ex Benth.",167
"Chrysobalanaceae",167
"Lecythidaceae",166
"Virola pavonis (A.DC.) A.C.Sm.",165
"Eugenia L.",164
"Ocotea Aubl.",157
"Clusia L.",153
"Heterostemon conjugatus Spruce ex Benth.",152
"Annonaceae",152
"Iriartea deltoidea Ruiz & Pav.",151
"Sloanea L.",145
"Iryanthera tricornis Ducke",144
"Eschweilera punctata S.A.Mori",142
"Hevea guianensis Aubl.",141
"Tachigali Aubl.",141
"Geonoma stricta (Poit.) Kunth",135
"Rubiaceae",134
"Piper L.",133
"Lindsaea lancea (L.) Bedd.",129
"Hyospathe elegans Mart.",128
"Theobroma obovatum Klotzsch ex Bernoulli",127
"SH1207037.09FU",126
"Geonoma deversa (Poit.) Kunth",126
"Elaeoluma Baill.",126
"Theobroma subincanum Mart.",126
"Lepidocaryum tenue Mart.",125
"Protium nodulosum Swart",125
"Geonoma macrostachys Mart.",122
"Ocotea aciphylla (Nees) Mez",119
"Osteophloeum platyspermum (A.DC.) Warb.",119
"Psychotria L.",116
"Capsicum chinense Jacq.",116
"Iriartella setigera (Mart.) H.Wendl.",116
"Guarea kunthiana A.Juss.",112
"Socratea exorrhiza (Mart.) H.Wendl.",112
"Micropholis guyanensis (A.DC.) Pierre",111
"Eschweilera itayensis R.Knuth",111
"Bromeliaceae",110
"Eschweilera rufifolia S.A.Mori",110
"Leonia glycycarpa Ruiz & Pav.",108
"Warszewiczia coccinea (Vahl) Klotzsch",108
"Dacryodes chimantensis Steyerm. & Maguire",108
"Protium Burm.fil.",107
"Rinorea racemosa (C.Mart.) Kuntze",106
"Philodendron Schott",106
"Cyathea lasiosora (Mett. ex Kuhn) Domin",105
"Eschweilera tessmannii R.Knuth",104
"Swartzia klugii (R.S.Cowan) Torke",104
"Caraipa Aubl.",104
"Siparuna decipiens (Tul.) A.DC.",103
"Manihot Mill.",103
"Iryanthera juruensis Warb.",102
"Dendropanax palustris (Ducke) Harms",102
"Arecaceae",102
"Guarea L.",102
"Calophyllum longifolium Willd.",101
"Hevea pauciflora (Spruce ex Benth.) Müll.Arg.",101
"Melastomataceae",99
"Tapirira guianensis Aubl.",99
"Micrandra siphonioides Benth.",99
"Siparuna cristata (Poepp. & Endl.) A.DC.",98
