"scientific","family","rec_gbif"
"Mauritia flexuosa L.f.","Arecaceae",369
"Euterpe precatoria Mart.","Arecaceae",366
"Inga Mill.","Fabaceae",213
"Theobroma subincanum Mart.","Malvaceae",126
"Capsicum chinense Jacq.","Solanaceae",116
"Capsicum annuum L.","Solanaceae",92
"Capsicum frutescens L.","Solanaceae",85
"Brosimum utile (Kunth) Oken","Moraceae",84
"Inga edulis Mart.","Fabaceae",76
"Pouteria caimito (Ruiz & Pav.) Radlk.","Sapotaceae",59
"Inga marginata Willd.","Fabaceae",54
"Passiflora nitida Kunth","Passifloraceae",53
"Dialium guianense (Aubl.) Sandwith","Fabaceae",52
"Garcinia macrophylla Mart.","Clusiaceae",50
"Genipa americana L.","Rubiaceae",50
"Couma macrocarpa Barb.Rodr.","Apocynaceae",47
"Gloeospermum sphaerocarpum Triana & Planch.","Violaceae",44
"Inga acrocephala Steud.","Fabaceae",44
"Poraqueiba sericea Tul.","Metteniusaceae",43
"Pourouma cecropiifolia Mart.","Urticaceae",39
"Eugenia florida DC.","Myrtaceae",36
"Ananas comosus (L.) Merr.","Bromeliaceae",36
"Inga stenoptera Benth.","Fabaceae",35
"Pseudolmedia rigida (Klotzsch & H.Karst.) Cuatrec.","Moraceae",35
"Campsiandra comosa Benth.","Fabaceae",35
"Inga cinnamomea Spruce ex Benth.","Fabaceae",30
"Inga pilosula (Rich.) J.F.Macbr.","Fabaceae",30
"Passiflora vitifolia Kunth","Passifloraceae",29
"Theobroma bicolor Humb. & Bonpl.","Malvaceae",28
"Inga pruriens Poepp.","Fabaceae",28
"Inga auristellae Harms","Fabaceae",27
"Inga nobilis Willd.","Fabaceae",27
"Theobroma grandiflorum (Willd. ex Spreng.) Schum.","Malvaceae",25
"Inga punctata Willd.","Fabaceae",24
"Caryodendron orinocense H.Karst.","Euphorbiaceae",22
"Inga bourgoni (Aubl.) DC.","Fabaceae",22
"Posoqueria latifolia (Rudge) Schult.","Rubiaceae",22
"Inga umbellifera (Vahl) Steud. ex DC.","Fabaceae",22
"Inga brachystachys Ducke","Fabaceae",20
"Inga thibaudiana DC.","Fabaceae",19
"Inga tenuistipula Ducke","Fabaceae",19
"Inga brachyrhachis Harms","Fabaceae",18
"Inga megaphylla Poncy & Vester","Fabaceae",18
"Solanum sessiliflorum Dunal","Solanaceae",17
"Inga alba (Sw.) Willd.","Fabaceae",17
"Inga stipularis DC.","Fabaceae",16
"Inga pezizifera Benth.","Fabaceae",15
"Lacmellea edulis H.Karst.","Apocynaceae",15
"Lacmellea lactescens (Kuhlm.) Markgr.","Apocynaceae",15
"Inga capitata Desv.","Fabaceae",15
"Bellucia pentamera Naudin","Melastomataceae",14
"Passiflora serratodigitata L.","Passifloraceae",14
"Inga ruiziana G.Don","Fabaceae",14
"Montrichardia arborescens (L.) Schott","Araceae",13
"Inga gracilior Sprague","Fabaceae",12
"Spondias mombin L.","Anacardiaceae",12
"Bellucia grossularioides (L.) Triana","Melastomataceae",12
"Hirtella triandra Sw.","Chrysobalanaceae",12
"Inga chartacea Poepp.","Fabaceae",12
"Peritassa laevigata (Hoffmanns. ex Link) A.C.Sm.","Celastraceae",11
"Inga laurina (Sw.) Willd.","Fabaceae",11
"Inga spectabilis (Vahl) Willd.","Fabaceae",11
"Inga leiocalycina Benth.","Fabaceae",11
"Inga cordatoalata Ducke","Fabaceae",10
"Inga gracilifolia Ducke","Fabaceae",10
"Inga heterophylla Willd.","Fabaceae",10
