"scientific","family","rec_gbif"
"Eschweilera coriacea (DC.) S.A.Mori","Lecythidaceae",506
"Fabaceae","Fabaceae",463
"Manihot esculenta Crantz","Euphorbiaceae",409
"Mauritia flexuosa L.f.","Arecaceae",369
"Euterpe precatoria Mart.","Arecaceae",366
"Eschweilera Mart. ex DC.","Lecythidaceae",362
"Oxandra polyantha R.E.Fr.","Annonaceae",353
"Virola calophylla (Spruce) Warb.","Myristicaceae",339
"Clathrotropis macrocarpa Ducke","Fabaceae",312
"Virola elongata (Benth.) Warb.","Myristicaceae",303
"Iryanthera ulei Warb.","Myristicaceae",279
"Oenocarpus bataua Mart.","Arecaceae",279
"Micrandra spruceana (Baill.) R.E.Schult.","Euphorbiaceae",272
"Lauraceae","Lauraceae",270
"Virola Aubl.","Myristicaceae",242
"Nealchornea yapurensis Huber","Euphorbiaceae",216
"Inga Mill.","Fabaceae",213
"Pouteria Aubl.","Sapotaceae",207
"SH0934916.09FU","Moraceae",206
"Digomphia densicoma (Mart. ex DC.) Pilg.","Bignoniaceae",206
"Scleronema micranthum (Ducke) Ducke","Malvaceae",201
"Myristicaceae","Myristicaceae",196
"Miconia Ruiz & Pav.","Melastomataceae",189
"Plantae",NULL,188
"Rinorea lindeniana (Tul.) Kuntze","Violaceae",184
"Licania Aubl.","Chrysobalanaceae",180
"Sapotaceae","Sapotaceae",176
"Conceveiba guianensis Aubl.","Euphorbiaceae",174
"Monopteryx uaucu Spruce ex Benth.","Fabaceae",167
"Chrysobalanaceae","Chrysobalanaceae",167
"Lecythidaceae","Lecythidaceae",166
"Virola pavonis (A.DC.) A.C.Sm.","Myristicaceae",165
"Eugenia L.","Myrtaceae",164
"Ocotea Aubl.","Lauraceae",157
"Clusia L.","Clusiaceae",153
"Heterostemon conjugatus Spruce ex Benth.","Fabaceae",152
"Annonaceae","Annonaceae",152
"Iriartea deltoidea Ruiz & Pav.","Arecaceae",151
"Sloanea L.","Elaeocarpaceae",145
"Iryanthera tricornis Ducke","Myristicaceae",144
"Eschweilera punctata S.A.Mori","Lecythidaceae",142
"Hevea guianensis Aubl.","Euphorbiaceae",141
"Tachigali Aubl.","Fabaceae",141
"Geonoma stricta (Poit.) Kunth","Arecaceae",135
"Rubiaceae","Rubiaceae",134
"Piper L.","Piperaceae",133
"Lindsaea lancea (L.) Bedd.","Lindsaeaceae",129
"Hyospathe elegans Mart.","Arecaceae",128
"Theobroma obovatum Klotzsch ex Bernoulli","Malvaceae",127
"SH1207037.09FU","Malpighiaceae",126
"Geonoma deversa (Poit.) Kunth","Arecaceae",126
"Elaeoluma Baill.","Sapotaceae",126
"Theobroma subincanum Mart.","Malvaceae",126
"Lepidocaryum tenue Mart.","Arecaceae",125
"Protium nodulosum Swart","Burseraceae",125
"Geonoma macrostachys Mart.","Arecaceae",122
"Ocotea aciphylla (Nees) Mez","Lauraceae",119
"Osteophloeum platyspermum (A.DC.) Warb.","Myristicaceae",119
"Psychotria L.","Rubiaceae",116
"Capsicum chinense Jacq.","Solanaceae",116
"Iriartella setigera (Mart.) H.Wendl.","Arecaceae",116
"Guarea kunthiana A.Juss.","Meliaceae",112
"Socratea exorrhiza (Mart.) H.Wendl.","Arecaceae",112
"Micropholis guyanensis (A.DC.) Pierre","Sapotaceae",111
"Eschweilera itayensis R.Knuth","Lecythidaceae",111
"Bromeliaceae","Bromeliaceae",110
"Eschweilera rufifolia S.A.Mori","Lecythidaceae",110
"Leonia glycycarpa Ruiz & Pav.","Violaceae",108
"Warszewiczia coccinea (Vahl) Klotzsch","Rubiaceae",108
"Dacryodes chimantensis Steyerm. & Maguire","Burseraceae",108
"Protium Burm.fil.","Burseraceae",107
"Rinorea racemosa (C.Mart.) Kuntze","Violaceae",106
"Philodendron Schott","Araceae",106
"Cyathea lasiosora (Mett. ex Kuhn) Domin","Cyatheaceae",105
"Eschweilera tessmannii R.Knuth","Lecythidaceae",104
"Swartzia klugii (R.S.Cowan) Torke","Fabaceae",104
"Caraipa Aubl.","Calophyllaceae",104
"Siparuna decipiens (Tul.) A.DC.","Siparunaceae",103
"Manihot Mill.","Euphorbiaceae",103
"Iryanthera juruensis Warb.","Myristicaceae",102
"Dendropanax palustris (Ducke) Harms","Araliaceae",102
"Arecaceae","Arecaceae",102
"Guarea L.","Meliaceae",102
"Calophyllum longifolium Willd.","Calophyllaceae",101
"Hevea pauciflora (Spruce ex Benth.) Müll.Arg.","Euphorbiaceae",101
"Melastomataceae","Melastomataceae",99
"Tapirira guianensis Aubl.","Anacardiaceae",99
"Micrandra siphonioides Benth.","Euphorbiaceae",99
"Siparuna cristata (Poepp. & Endl.) A.DC.","Siparunaceae",98
"Rinorea Aubl.","Violaceae",98
"Aechmea corymbosa (Mart. ex Schult. & Schult.f.) Mez","Bromeliaceae",97
"Iryanthera hostmannii (Benth.) Warb.","Myristicaceae",95
"Clusiaceae","Clusiaceae",95
"Cecropia membranacea Trécul","Urticaceae",94
"Eschweilera albiflora (DC.) Miers","Lecythidaceae",93
"Guatteria megalophylla Diels","Annonaceae",93
"Iryanthera crassifolia A.C.Sm.","Myristicaceae",92
"Capsicum annuum L.","Solanaceae",92
"Pseudolmedia laevis (Ruiz & Pav.) J.F.Macbr.","Moraceae",91
"Macrolobium Schreb.","Fabaceae",91
"Ficus L.","Moraceae",90
"Drymonia coccinea (Aubl.) Wiehler","Gesneriaceae",89
"Pouteria torta (Mart.) Radlk.","Sapotaceae",88
"Moraceae","Moraceae",88
"Hevea brasiliensis (Willd. ex A.Juss.) Müll.Arg.","Euphorbiaceae",87
"Geonoma maxima (Poit.) Kunth","Arecaceae",87
"Xylopia L.","Annonaceae",87
"Capsicum frutescens L.","Solanaceae",85
"Cordia nodosa Lam.","Cordiaceae",85
"Iryanthera Warb.","Myristicaceae",85
"Hevea nitida Mart. ex Müll.Arg.","Euphorbiaceae",84
"Clusia spathulaefolia Engl.","Clusiaceae",84
"Brosimum utile (Kunth) Oken","Moraceae",84
"Pouteria cuspidata (A.DC.) Baehni","Sapotaceae",84
"Swartzia polyphylla DC.","Fabaceae",84
"Lindackeria paludosa (Benth.) Gilg","Achariaceae",82
"Myrtaceae","Myrtaceae",82
"Swartzia Schreb.","Fabaceae",82
"Geonoma Willd.","Arecaceae",82
"Matisia ochrocalyx Schum.","Malvaceae",81
"Rhodognaphalopsis A.Robyns","Malvaceae",80
"Mabea Aubl.","Euphorbiaceae",80
"Aspidosperma excelsum Benth.","Apocynaceae",80
"Oxandra xylopioides Diels","Annonaceae",79
"Minquartia guianensis Aubl.","Coulaceae",79
"Burseraceae","Burseraceae",77
"Unonopsis veneficiorum (Mart.) R.E.Fr.","Annonaceae",76
"Eschweilera parvifolia Mart. ex DC.","Lecythidaceae",76
"Inga edulis Mart.","Fabaceae",76
"Virola surinamensis (Rol.) Warb.","Myristicaceae",76
"Chrysophyllum sanguinolentum (Pierre) Baehni","Sapotaceae",76
"Tabebuia insignis (Miq.) Sandwith","Bignoniaceae",75
"Caraipa punctulata Ducke","Calophyllaceae",75
"Saccoloma inaequale (Kunze) Mett.","Saccolomataceae",74
"Piper soledadense Trel.","Piperaceae",74
"SH1263627.09FU","Apocynaceae",74
"Dacryodes Vahl","Burseraceae",74
"Matisia lasiocalyx K.Schum.","Malvaceae",74
"Bactris simplicifrons Mart.","Arecaceae",73
"Octoblepharum albidum Hedwig, 1801","Dicranaceae",72
"Meliaceae","Meliaceae",72
"Capsicum L.","Solanaceae",72
"Heliconia L.","Heliconiaceae",71
"Mabea occidentalis Benth.","Euphorbiaceae",70
"Brosimum lactescens (Moore) C.C.Berg","Moraceae",70
"Mollia lepidota Spruce ex Benth.","Malvaceae",70
"Goupia glabra Aubl.","Goupiaceae",70
"Eschweilera gigantea (R.Knuth) J.F.Macbr.","Lecythidaceae",70
"Pseudosenefeldera inclinata (Müll.Arg.) Esser","Euphorbiaceae",70
"Myrcia DC. ex Guill.","Myrtaceae",70
"Costus scaber Ruiz & Pav.","Costaceae",70
"Caryocar glabrum (Aubl.) Pers.","Caryocaraceae",70
"Aparisthmium cordatum (A.Juss.) Baill.","Euphorbiaceae",69
"Neea Ruiz & Pav.","Nyctaginaceae",69
"Besleria aggregata (C.Mart.) Hanst.","Gesneriaceae",69
"Bactris maraja Mart.","Arecaceae",69
"Cyathea pungens (Willd.) Domin","Cyatheaceae",69
"Theobroma glaucum Karst.","Malvaceae",69
"Pourouma Aubl.","Urticaceae",68
"Euphorbiaceae","Euphorbiaceae",68
"Renealmia krukovii Maas","Zingiberaceae",68
"Virola loretensis A.C.Sm.","Myristicaceae",68
"Miconia mayeta (D.Don) Michelang.","Melastomataceae",67
"Micropholis venulosa (Mart. & Eichler) Pierre","Sapotaceae",67
"Tovomita Aubl.","Clusiaceae",67
"Triplaris americana L.","Polygonaceae",67
"Pachira brevipes (Robyns) Alverson","Malvaceae",67
"Oxandra leucodermis (Spruce ex Benth.) Warm.","Annonaceae",67
"Ouratea Aubl.","Ochnaceae",67
"Sterculia L.","Malvaceae",67
"Swartzia schomburgkii Benth.","Fabaceae",66
"Guatteria Ruiz & Pav.","Annonaceae",66
"Guarea macrophylla M.Vahl","Meliaceae",65
