"locality","decimallat","decimallon","rec_gbif","species"
"Rio Amazonas--Puerto Narino",-3.772705,-70.381424,3732,339
"varzea Amacayacu PN",-3.814165,-70.2605,3537,268
"Tierra Firma forest Amacayacu PN",-3.804732,-70.26116,3155,239
"Laguna Tarapoto",-3.794373,-70.42717,2366,299
"Rio Amazonas--Isla de los Micos (Monkey Island)",-4.036043,-70.10654,2221,245
"Lagos Yahuarcaca",-4.189504,-69.95843,2168,289
"Hotel Malokamazonas",-4.214694,-69.9369,2129,75
"Rio Amazonas--Quebrada Tucuchira",-4.019386,-70.11283,1969,223
"Parque Ecológico Mundo Amazónico",-4.145263,-69.92987,1904,203
"Isla Mocagua y Zaragocilla",-3.85,-70.23333,1869,263
"Parque Santander",-4.212645,-69.94298,1814,170
"Isla Fantasía",-4.202146,-69.95933,1671,179
"Barrio Punta Brava_Leticia",-4.216849,-69.93832,1533,68
"Sendero San Rafael",-1.711944,-73.21333,1447,253
"Rio Amazonas--Isla Ronda",-4.153002,-69.99372,1441,268
"Reserva Natural Selva",-4.124637,-69.94567,1398,153
"Isla de La Fantasía",-4.213659,-69.9504,1259,157
"PNN Amacayacu",-3.391333,-70.15283,1061,335
"Quebrada Matamatá",-3.818111,-70.256226,985,210
"Rio Amazonas--Rio Amacayacu",-3.803772,-70.30456,983,218
"Puerto Nariño (pueblo)",-3.77933,-70.363976,981,187
"Amazon Bird Lodge, Puerto Nariño",-3.787876,-70.356125,871,223
"Sector La Playa",-4.2045,-69.9536,857,186
"RN Tanimboca--Sendero La Arenosa",-4.120865,-69.952034,838,167
"Cabaña Matamatá",-3.819185,-70.261284,819,217
"Riverside PN Amacayacu",-3.821009,-70.26406,804,168
"Puerto Nariño y lagos Tarapoto",-3.773819,-70.38048,800,221
"Mocagua",-3.806534,-70.215,787,219
"Río Tacana, Maloca William",-4.135825,-69.921295,706,187
"Comunidad Bora-Muinane km17",-4.065,-69.979,657,179
"Puerto Nariño zona alta",-3.772191,-70.35739,620,205
"Reserva Natural Cerca Viva",-4.122799,-69.947975,614,128
"San Pedro de Tipisca",-3.682451,-70.59858,597,219
"Comunidad Ronda",-4.131566,-69.99239,574,97
"10 km NNW of Laguna Pexiboy",-2.6138,-69.8452,524,224
"Reserva Ara",-4.095942,-69.95063,505,85
"Leticia -- Road North",-4.156991,-69.93536,496,161
"53 km SW of Tarapacá, near confluence of Cotuhé River and Bejuco Creek",-3.1441,-70.1489,486,214
"RN Tanimboca (Leticia)",-4.123733,-69.95524,471,148
"Parque Nacional Natural Amacayacu",-3.821035,-70.26159,453,176
"3 km SSE of the Cabaña Lorena guard station and 32 km SW of Tarapacá",-3.0684,-69.9787,453,206
"Comunidad Indígena Mocagua",-3.825149,-70.25331,447,134
"Parque Nacional Natural Amacayacu",-3.8215,-70.261734,443,160
"Amazonas, CO (-3.751, -70.311)",-3.751126,-70.31078,434,82
"Comunidad Indígena San Martin de Amacayacu",-3.776302,-70.30106,423,165
"Leticia barrio costa rica",-4.203987,-69.93603,409,95
"Leticia",-4.0,-70.0,408,79
"Comunidad San Pedro",-4.146,-69.956,406,120
"Lorena",-3.047411,-69.99597,393,201
"Tarapoto canales internos",-3.821427,-70.49108,389,166
"Laguna El Correo",-3.781046,-70.395195,373,140
"Cabaña Matamatá_PNN Amacayacu",-3.818845,-70.26115,372,93
"P.N.N. Amacayacu",-3.805,-70.305557,370,76
"Calanoa Jungle Lodge",-3.835994,-70.22907,363,135
"Sendero Puerto Nariño a San Martin",-3.764346,-70.334755,356,186
"Aeropuerto Internacional Alfredo Vásquez Cobo",-4.197502,-69.94276,346,89
