"pueblo","tot_area_has"
"Witoto",5834557.85016237
"Yucuna Y Otros",1687460.255555245
"Tanimuca",1038250.6378866375
"Ticuna",284265.98515502724
"Muinane Y Otros",265315.597285135
"Yucuna y Otros",249970.88908352036
"Ticunacocamayagua",140623.21549306248
"Uitoto, Ticuna, Bora, Cocama, Ocaina, Ingano, Andoque",95528.7966008595
"Yucuna, Miraña,Taminuca Y Otros",30654.142340692008
"Witototicuna",27255.095005615258
"Ticuna  Yagua",3034.13081860195
"Yagua",2760.8975336223552
"Ticuna Y Cocama",1179.2788537382307
"Cocama",588.6936167771664
