"reguardo","matricula_","pueblo","municipio","area_has"
"Miriti Parana (La Pradera)","400-1497","Yucuna Y Otros","91001",1603295.9483749345
"San Antonio De Los Lagos Y San Sebastian","400-1593","Ticuna","LETICIA",187.53299685516808
"Yaigoje Rio Apaporis",NULL,"Tanimuca","91460",1038250.6378866375
"San Jose Del Rio","400-3825","Cocama","LETICIA",536.5378672191189
"Resguardo Indigena Puerto Córdoba",NULL,"Yucuna Y Otros","91001",53439.48792828569
"Puerto Triunfo",NULL,"Ticuna Y Cocama","LETICIA",1129.6514588127227
"Camaritagua",NULL,"Yucuna, Miraña,Taminuca Y Otros","LA PEDRERA",30654.142340692008
"La Playa","400-4794","Ticuna Y Cocama","LETICIA",49.627394925507936
"San Juan De Los Parentes",NULL,"Ticuna","LETICIA",39.146725888769694
"Nazaret","400-8549","Ticuna","LETICIA",1293.581167865457
"Uitiboc",NULL,"Uitoto, Ticuna, Bora, Cocama, Ocaina, Ingano, Andoque","91001",95528.7966008595
"Mocagua, Macedonia, El Vergel Y Zaragoza","400-1614","Ticuna","91001",18068.697895729085
"Nonuya De Villazul",NULL,"Muinane Y Otros","91407",265315.597285135
"Kilometro 6 Y 11 Carretera Leticia Tarapaca",NULL,"Witototicuna","LETICIA",27255.095005615258
"Isla De Ronda",NULL,"Cocama","LETICIA",52.15574955804751
"Comeyafu",NULL,"Yucuna Y Otros","91001",30724.819252024834
"Arara","400-546","Ticuna","LETICIA",12197.578920231592
"Santa Sofia Y El Progreso","400-1592","Ticuna  Yagua","LETICIA",3034.13081860195
"Tiitanho Nijaamu - La Libertad","400-12661","Yagua","91001",2760.8975336223552
"Ríos Cotuhé Y Putumayo",NULL,"Ticuna","Leticia",252479.44744845718
"Curare Los Ingleses",NULL,"Yucuna y Otros","La Pedrera",249970.88908352036
"Predio Putumayo","400-7634","Witoto","91001",5834557.85016237
"Puerto Nariño (Tikoya)","400-2555","Ticunacocamayagua","91540",140623.21549306248
